Name;Value;Value_de-De;Value_es-ES;Value_ru;Value_fr-FR;Value-uk
Pause and Resume Functionality detail;Decoding can be paused at any time, and the app will resume from the last position upon restarting. ;Die Entschlüsselung kann jederzeit pausiert werden, und die App wird beim Neustart an der letzten Position fortgesetzt. ;La decodificación se puede pausar en cualquier momento, y la aplicación continuará desde la última posición al reiniciar. ;Декодирование может быть приостановлено в любое время, и приложение возобновит работу с последней позиции при повторном запуске. ;La décodage peut être mis en pause à tout moment, et l'application reprendra depuis la dernière position lors de la relance. ;Декодування може бути призупинено в будь-який момент, і додаток продовжить з останньої позиції під час перезапуску.
Consent for Upload;Consent for Upload;Zustimmung für den Upload;Consentimiento para cargar;Согласие на загрузку;Consentement pour le téléchargement;Згода на завантаження
Consent for Upload detail;To upload replays to the website, you must grant consent in the 'Settings' page. Once consented, decoded replays will be automatically uploaded, or you can manually press the 'Upload' button on the 'Home' screen.;Um Wiederholungen auf die Website hochzuladen, müssen Sie auf der 'Einstellungen'-Seite zustimmen. Nach der Zustimmung werden entschlüsselte Wiederholungen automatisch hochgeladen, oder Sie können manuell die Schaltfläche 'Hochladen' auf dem 'Startbildschirm' drücken.;Para cargar repeticiones en el sitio web, debes otorgar consentimiento en la página de 'Configuración'. Una vez otorgado el consentimiento, las repeticiones decodificadas se cargarán automáticamente, o puedes presionar manualmente el botón 'Cargar' en la pantalla de 'Inicio'.;Для загрузки повторов на веб-сайт, вы должны дать согласие на странице 'Настройки'. После получения согласия декодированные повторы будут автоматически загружены, или вы можете вручную нажать кнопку 'Загрузить' на экране 'Главная'.;Pour télécharger des rediffusions sur le site web, vous devez donner votre consentement dans la page 'Paramètres'. Une fois le consentement donné, les rediffusions décodées seront automatiquement téléchargées, ou vous pouvez appuyer manuellement sur le bouton 'Télécharger' sur l'écran d'accueil.;Для завантаження повторів на веб-сайт, вам потрібно дати згоду на сторінці 'Налаштування'. Після надання згоди розкодовані повтори автоматично завантажуватимуться, або ви можете вручну натискати кнопку 'Завантажити' на головному екрані.
Comparing Stats;Comparing Stats;Statistiken vergleichen;Comparando estadísticas;Сравнение статистики;Comparaison des statistiques;Порівняння статистики
Comparing Stats detail;Explore player and commander stats locally or, with consent, compare them online with other players for a comprehensive gaming analysis.;Spieler- und Kommandantenstatistiken lokal erkunden oder mit Zustimmung online mit anderen Spielern vergleichen, um eine umfassende Spielanalyse durchzuführen.;Explora estadísticas de jugadores y comandantes localmente o, con consentimiento, compáralas en línea con otros jugadores para un análisis de juego integral.;Изучайте статистику игрока и командира локально или, с согласия, сравнивайте ее онлайн с другими игроками для комплексного анализа игры.;Explorez les statistiques des joueurs et des commandants localement ou, avec consentement, comparez-les en ligne avec d'autres joueurs pour une analyse de jeu complète.;Досліджуйте статистику гравців та командирів локально або, за згодою, порівнюйте її онлайн з іншими гравцями для комплексного аналізу гри.
Community Support;Community Support;Community-Support;Apoyo comunitario;Поддержка сообщества;Soutien de la communauté;Підтримка спільноти
Community Support detail;Join our online community for additional assistance, updates, and discussions related to the app.;Treten Sie unserer Online-Community für zusätzliche Unterstützung, Updates und Diskussionen im Zusammenhang mit der App bei.;Únete a nuestra comunidad en línea para obtener asistencia adicional, actualizaciones y discusiones relacionadas con la aplicación.;Присоединяйтесь к нашему онлайн-сообществу для дополнительной помощи, обновлений и обсуждений, связанных с приложением.;Rejoignez notre communauté en ligne pour une assistance supplémentaire, des mises à jour et des discussions liées à l'application.;Приєднуйтеся до нашої онлайн-спільноти для додаткової допомоги, оновлень та обговорень, пов'язаних з додатком.
Decode;Decode; Entschlüsseln; Decodificar; Декодировать; Décoder; Декодувати
Scan;Scan; Scannen; Escanear; Сканировать; Scanner; Сканувати
Upload;Upload; Hochladen; Cargar; Загрузить; Télécharger;Завантажити
StopDecoding;StopDecoding; Entschlüsselung stoppen; Detener decodificación; Остановить декодирование; Arrêter le décodage; Зупинити декодування
Latest Replay;Latest Replay; Neueste Wiederholung; Última Repetición; Последняя повтор; Dernière Rediffusion; Останній повтор
Recent Replay;Recent Replay; Aktuelle Wiederholung; Repetición Reciente; Недавнее повторение; Rediffusion Récente; Остання повторення
Session Progress;Session Progress; Sitzungsfortschritt; Progreso de Sesión; Прогресс сессии; Progression de la Session; Прогрес сесії
Replays;Replays; Wiederholungen; Repeticiones; Повторы; Rediffusions; Повторення
New Replays;New Replays; Neue Wiederholungen; Nuevas Repeticiones; Новые повторы; Nouvelles Rediffusions; Нові повторення
Check for Updates;Check for Updates; Nach Updates suchen; Buscar actualizaciones; Проверить наличие обновлений; Vérifier les mises à jour; Перевірити наявність оновлень
Errors;Errors; Fehler; Errores; Ошибки; Erreurs; Помилки
Calculating Ratings;Calculating Ratings; Berechnung der Bewertungen; Calculando Calificaciones; Вычисление рейтингов; Calcul des Évaluations; Обчислення рейтингів
Writing to database;Writing to database; In die Datenbank schreiben; Escribiendo en la base de datos; Запись в базу данных; Écriture dans la base de données; Запис до бази даних
Decoded {0} Replay(s) in {1};Decoded {0} Replay(s) in {1};{0} Wiederholung(en) in {1} entschlüsselt;Decodificado {0} repetición(es) en {1};Декодировано {0} повторов за {1};Décodé {0} rediffusion(s) en {1};Декодовано {0} повторів за {1}
Uploading;Uploading; Hochladen; Subiendo; Загрузка (Zagruzka); Envoi; Вивантаження 
Upload successful;Upload successful; Erfolgreich hochgeladen; Carga exitosa; Загрузка успешна; Téléchargement réussi; Вивантаження успішне
Upload failed. Please try again later.;Upload failed. Please try again later.; Hochladen fehlgeschlagen. Bitte versuchen Sie es später erneut.; Error al cargar. Por favor, inténtelo de nuevo más tarde.; Ошибка загрузки. Пожалуйста, попробуйте снова позже.; Échec du téléchargement. Veuillez réessayer plus tard.; Помилка завантаження. Будь ласка, спробуйте знову пізніше.
Upload forbidden due to Disable/Delete.;Upload forbidden due to Disable/Delete.; Hochladen aufgrund von Deaktivieren/Löschen untersagt.; Carga prohibida debido a Desactivar/Eliminar.; Загрузка запрещена из-за Отключения/Удаления.; Téléchargement interdit en raison de la désactivation/suppression.; Завантаження заборонено через Вимкнення/Видалення.
